ID Cliente,Nombre Completo,Genero,Edad,Estado,Tipo de empleo,Fecha de Inicio,Balance,Estado Civil,Ultimo grado de estudios,Credito vivienda,Otro credito,Forma de contacto,Impago en credito
1,Joel Gute,Hombre,21,Texas,Empleado,05/01/2020,"$118,829.42",Casado,Basica,No,No,Correo,No
2,Marci Van,Mujer,34,Florida,Obrero,06/01/2020,"$41,195.60",Casado,Universidad,Si,Si,Correo,No
3,Gunner O'Donnell,Hombre,46,Texas,Empleado,07/01/2020,"$121,096.03",Soltero,Preparatoria,Si,No,Correo,No
4,Devin Hoffman,Hombre,32,Arizona,Empleado,08/01/2020,"$1,504.19",Casado,Preparatoria,Si,Si,Domicilio,No
5,Nady Allen,Mujer,38,Texas,Obrero,09/01/2020,"$39,057.24",Casado,Universidad,Si,No,Domicilio,No
6,Charmine Maddox,Mujer,30,Arizona,Obrero,09/01/2020,"$136,523.42",Soltero,Preparatoria,No,No,Correo,No
7,Florenza Pawlan,Mujer,34,Texas,Obrero,11/01/2020,"$43,288.28",Casado,Preparatoria,Si,No,Correo,No
8,Sharia Kriz,Mujer,48,Nevada,Otro,11/01/2020,"$34,819.04",Casado,Universidad,Si,No,Correo,No
9,Karia Grove,Mujer,33,Arizona,Empleado,11/01/2020,"$76,364.69",Casado,Preparatoria,Si,No,Domicilio,No
10,Erek Donatelli,Hombre,42,Texas,Empleado,12/01/2020,"$13,024.76",Casado,Basica,Si,Si,Correo,No
11,Reilly Black,Hombre,40,Texas,Empleado,12/01/2020,"$46,855.24",Casado,Universidad,Si,No,Domicilio,No
12,Dave Flanagan,Hombre,39,Texas,Empleado,12/01/2020,"$37,470.04",Casado,Universidad,Si,No,Correo,No
13,Hiro Burns,Hombre,24,Texas,Empleado,12/01/2020,"$38,301.63",Casado,Preparatoria,No,No,Correo,No
14,Rene Hoffmann,Hombre,46,Nevada,Otro,12/01/2020,"$49,314.60",Soltero,Universidad,No,No,Correo,Si
15,Barbra Blumstein,Mujer,36,Arizona,Otro,12/01/2020,"$3,118.33",Casado,Universidad,Si,Si,Correo,No
16,Joey Abelman,Hombre,42,Texas,Empleado,14/01/2020,"$2,146.00",Casado,Preparatoria,No,Si,Correo,No
17,Elva Hale,Mujer,31,Nevada,Otro,14/01/2020,"$11,237.70",Casado,Universidad,No,No,Correo,No
18,Nessie Nguyen,Mujer,42,Nevada,Otro,14/01/2020,"$4,501.69",Soltero,Preparatoria,Si,No,Correo,No
19,Oliver Cazamias,Hombre,40,Texas,Obrero,15/01/2020,"$71,807.49",Soltero,Basica,Si,No,Domicilio,No
20,Christean Ausman,Mujer,46,Texas,Obrero,15/01/2020,"$13,322.94",Casado,Universidad,No,No,Correo,No
21,Jerzy Smith,Hombre,37,Arizona,Otro,16/01/2020,"$29,755.72",Divorciado,Otro,Si,No,Correo,No
22,Davey Nelson,Hombre,58,Nevada,Obrero,18/01/2020,"$23,567.37",Divorciado,Preparatoria,No,No,Correo,No
